region_id,region,muni_string,cut82,cut92,cut02,cut_2026
1,Tarapacá,Iquique,210,1101,1101,1101.0
1,Tarapacá,Alto Hospicio,210,1101,1101,1107.0
1,Tarapacá,Pozo Almonte,215,1106,1106,1401.0
1,Tarapacá,Camiña,212,1102,1102,1402.0
1,Tarapacá,Colchane,213,1103,1103,1403.0
1,Tarapacá,Huara,211,1104,1104,1404.0
1,Tarapacá,Pica,214,1105,1105,1405.0
2,Antofagasta,Antofagasta,230,2101,2101,2101.0
2,Antofagasta,Mejillones,231,2102,2102,2102.0
2,Antofagasta,Sierra Gorda,232,2103,2103,2103.0
2,Antofagasta,Taltal,233,2104,2104,2104.0
2,Antofagasta,Calama,225,2201,2201,2201.0
2,Antofagasta,Ollagüe,226,2202,2202,2202.0
2,Antofagasta,San Pedro de Atacama,227,2203,2203,2203.0
2,Antofagasta,Tocopilla,220,2301,2301,2301.0
2,Antofagasta,María Elena,221,2302,2302,2302.0
3,Atacama,Copiapó,240,3101,3101,3101.0
3,Atacama,Caldera,241,3102,3102,3102.0
3,Atacama,Tierra Amarilla,242,3103,3103,3103.0
3,Atacama,Chañaral,235,3201,3201,3201.0
3,Atacama,Diego de Almagro,236,3202,3202,3202.0
3,Atacama,Vallenar,245,3301,3301,3301.0
3,Atacama,Alto del Carmen,248,3302,3302,3302.0
3,Atacama,Freirina,246,3303,3303,3303.0
3,Atacama,Huasco,247,3304,3304,3304.0
4,Coquimbo,La Serena,250,4101,4101,4101.0
4,Coquimbo,Coquimbo,252,4102,4102,4102.0
4,Coquimbo,Andacollo,253,4103,4103,4103.0
4,Coquimbo,La Higuera,251,4104,4104,4104.0
4,Coquimbo,Paiguano,255,4105,4105,4105.0
4,Coquimbo,Vicuña,254,4106,4106,4106.0
4,Coquimbo,Illapel,270,4201,4201,4201.0
4,Coquimbo,Canela,273,4202,4202,4202.0
4,Coquimbo,Los Vilos,272,4203,4203,4203.0
4,Coquimbo,Salamanca,271,4204,4204,4204.0
4,Coquimbo,Ovalle,260,4301,4301,4301.0
4,Coquimbo,Combarbalá,263,4302,4302,4302.0
4,Coquimbo,Monte Patria,262,4303,4303,4303.0
4,Coquimbo,Punitaqui,264,4304,4304,4304.0
4,Coquimbo,Río Hurtado,261,4305,4305,4305.0
5,Valparaíso,Valparaíso,310,5101,5101,5101.0
5,Valparaíso,Casablanca,316,5102,5102,5102.0
5,Valparaíso,Concón,311,5109,5103,5103.0
5,Valparaíso,Juan Fernández,317,5104,5104,5104.0
5,Valparaíso,Puchuncaví,313,5105,5105,5105.0
5,Valparaíso,Quintero,312,5107,5107,5107.0
5,Valparaíso,Viña del Mar,311,5109,5109,5109.0
5,Valparaíso,Isla de Pascua,330,5201,5201,5201.0
5,Valparaíso,Los Andes,285,5301,5301,5301.0
5,Valparaíso,Calle Larga,287,5302,5302,5302.0
5,Valparaíso,Rinconada,288,5303,5303,5303.0
5,Valparaíso,San Esteban,286,5304,5304,5304.0
5,Valparaíso,La Ligua,275,5401,5401,5401.0
5,Valparaíso,Cabildo,277,5402,5402,5402.0
5,Valparaíso,Papudo,279,5403,5403,5403.0
5,Valparaíso,Petorca,276,5404,5404,5404.0
5,Valparaíso,Zapallar,278,5405,5405,5405.0
5,Valparaíso,Quillota,300,5501,5501,5501.0
5,Valparaíso,Calera,302,5502,5502,5502.0
5,Valparaíso,Hijuelas,304,5503,5503,5503.0
5,Valparaíso,La Cruz,301,5504,5504,5504.0
5,Valparaíso,Nogales,303,5506,5506,5506.0
5,Valparaíso,San Antonio,320,5601,5601,5601.0
5,Valparaíso,Algarrobo,324,5602,5602,5602.0
5,Valparaíso,Cartagena,321,5603,5603,5603.0
5,Valparaíso,El Quisco,323,5604,5604,5604.0
5,Valparaíso,El Tabo,322,5605,5605,5605.0
5,Valparaíso,Santo Domingo,325,5606,5606,5606.0
