cut82,cut92,cut02,cut2026,muni_string,region_id,region_string
210,1101,1101,1101,Iquique,1,Tarapacá
210,1107,1107,1107,Alto Hospicio,1,Tarapacá
215,1106,1106,1401,Pozo Almonte,1,Tarapacá
212,1102,1102,1402,Camiña,1,Tarapacá
213,1103,1103,1403,Colchane,1,Tarapacá
211,1104,1104,1404,Huara,1,Tarapacá
214,1105,1105,1405,Pica,1,Tarapacá
230,2101,2101,2101,Antofagasta,2,Antofagasta
231,2102,2102,2102,Mejillones,2,Antofagasta
232,2103,2103,2103,Sierra Gorda,2,Antofagasta
233,2104,2104,2104,Taltal,2,Antofagasta
225,2201,2201,2201,Calama,2,Antofagasta
226,2202,2202,2202,Ollagüe,2,Antofagasta
227,2203,2203,2203,San Pedro de Atacama,2,Antofagasta
220,2301,2301,2301,Tocopilla,2,Antofagasta
221,2302,2302,2302,María Elena,2,Antofagasta
240,3101,3101,3101,Copiapó,3,Atacama
241,3102,3102,3102,Caldera,3,Atacama
242,3103,3103,3103,Tierra Amarilla,3,Atacama
235,3201,3201,3201,Chañaral,3,Atacama
236,3202,3202,3202,Diego de Almagro,3,Atacama
245,3301,3301,3301,Vallenar,3,Atacama
248,3302,3302,3302,Alto del Carmen,3,Atacama
246,3303,3303,3303,Freirina,3,Atacama
247,3304,3304,3304,Huasco,3,Atacama
250,4101,4101,4101,La Serena,4,Coquimbo
252,4102,4102,4102,Coquimbo,4,Coquimbo
253,4103,4103,4103,Andacollo,4,Coquimbo
251,4104,4104,4104,La Higuera,4,Coquimbo
255,4105,4105,4105,Paiguano,4,Coquimbo
254,4106,4106,4106,Vicuña,4,Coquimbo
270,4201,4201,4201,Illapel,4,Coquimbo
273,4202,4202,4202,Canela,4,Coquimbo
272,4203,4203,4203,Los Vilos,4,Coquimbo
271,4204,4204,4204,Salamanca,4,Coquimbo
260,4301,4301,4301,Ovalle,4,Coquimbo
263,4302,4302,4302,Combarbalá,4,Coquimbo
262,4303,4303,4303,Monte Patria,4,Coquimbo
264,4304,4304,4304,Punitaqui,4,Coquimbo
261,4305,4305,4305,Río Hurtado,4,Coquimbo
310,5101,5101,5101,Valparaíso,5,Valparaíso
316,5102,5102,5102,Casablanca,5,Valparaíso
318,5103,5103,5103,Concón,5,Valparaíso
317,5104,5104,5104,Juan Fernández,5,Valparaíso
313,5105,5105,5105,Puchuncaví,5,Valparaíso
312,5107,5107,5107,Quintero,5,Valparaíso
311,5109,5109,5109,Viña del Mar,5,Valparaíso
330,5201,5201,5201,Isla de Pascua,5,Valparaíso
285,5301,5301,5301,Los Andes,5,Valparaíso
287,5302,5302,5302,Calle Larga,5,Valparaíso
288,5303,5303,5303,Rinconada,5,Valparaíso
