cut2026,year,muni_string,cut82,cut92,cut02,gini,fgt0
1101,1982,Iquique,210,1101,1101,0.5951104,0.9779977
1101,1992,Iquique,210,1101,1101,0.63907173,0.27124596
1101,2002,Iquique,210,1101,1101,0.62423262,0.10737478
1101,2017,Iquique,210,1101,1101,0.392029248943583,0.04383602
1107,1982,Alto Hospicio,210,1107,1107,0.5951104,0.9779977
1107,1992,Alto Hospicio,210,1107,1107,0.6549679,0.53981983
1107,2002,Alto Hospicio,210,1107,1107,0.59849328,0.21257501
1107,2017,Alto Hospicio,210,1107,1107,0.3800191976252317,0.07755472
1401,1982,Pozo Almonte,215,1106,1106,0.4409666,0.8851402
1401,1992,Pozo Almonte,215,1106,1106,0.65482559,0.29522545
1401,2002,Pozo Almonte,215,1106,1106,0.61203562,0.18593219
1401,2017,Pozo Almonte,215,1106,1106,0.4186887847667804,0.10880112
1402,1982,Camiña,212,1102,1102,0.5092705,0.9334719
1402,1992,Camiña,212,1102,1102,0.65508743,0.38400018
1402,2002,Camiña,212,1102,1102,0.61692912,0.27278635
1402,2017,Camiña,212,1102,1102,0.4743590054421904,0.2644559
1403,1982,Colchane,213,1103,1103,0.6064115,1.0
1403,1992,Colchane,213,1103,1103,0.6219617,0.39247984
1403,2002,Colchane,213,1103,1103,0.67329102,0.42253702
1403,2017,Colchane,213,1103,1103,0.4907242280011183,0.13947724
1404,1982,Huara,211,1104,1104,0.5060307,0.9200596
1404,1992,Huara,211,1104,1104,0.6806047,0.37761282
1404,2002,Huara,211,1104,1104,0.62358623,0.19448449
1404,2017,Huara,211,1104,1104,0.4438415638553226,0.18823709
1405,1982,Pica,214,1105,1105,0.6276087,0.9862769
1405,1992,Pica,214,1105,1105,0.68511533,0.30010766
1405,2002,Pica,214,1105,1105,0.62532479,0.17454979
1405,2017,Pica,214,1105,1105,0.4152092210169741,0.08634709
2101,1982,Antofagasta,230,2101,2101,0.5932091,0.5301153
2101,1992,Antofagasta,230,2101,2101,0.6436671,0.32108653
2101,2002,Antofagasta,230,2101,2101,0.62761593,0.13415736
2101,2017,Antofagasta,230,2101,2101,0.4222350029231416,0.05064389
2102,1982,Mejillones,231,2102,2102,0.5566318,0.5113039
2102,1992,Mejillones,231,2102,2102,0.62943779,0.31572736
2102,2002,Mejillones,231,2102,2102,0.60842286,0.16948134
2102,2017,Mejillones,231,2102,2102,0.4324469303854977,0.07660999
2103,1982,Sierra Gorda,232,2103,2103,0.5771291,0.3658804
2103,1992,Sierra Gorda,232,2103,2103,0.65247644,0.27328838
2103,2002,Sierra Gorda,232,2103,2103,0.62171066,0.08724893
2103,2017,Sierra Gorda,232,2103,2103,0.4527846778797015,0.01411298
2104,1982,Taltal,233,2104,2104,0.6233085,0.6142788
2104,1992,Taltal,233,2104,2104,0.64940414,0.44273988
2104,2002,Taltal,233,2104,2104,0.6197998,0.1829054
2104,2017,Taltal,233,2104,2104,0.4298774758106906,0.03510796
2201,1982,Calama,225,2201,2201,0.6147605,0.4409999
2201,1992,Calama,225,2201,2201,0.63537263,0.28386976
2201,2002,Calama,225,2201,2201,0.61774289,0.13376004
2201,2017,Calama,225,2201,2201,0.4296169045176071,0.04585084
2202,1982,Ollagüe,226,2202,2202,0.4576854,0.3404351
2202,1992,Ollagüe,226,2202,2202,0.69870275,0.35655138
2202,2002,Ollagüe,226,2202,2202,0.64110566,0.0899622
2202,2017,Ollagüe,226,2202,2202,0.4505407592073285,0.20190913
2203,1982,San Pedro de Atacama,227,2203,2203,0.6041978,0.5417637
2203,1992,San Pedro de Atacama,227,2203,2203,0.66942532,0.3448738
2203,2002,San Pedro de Atacama,227,2203,2203,0.63215072,0.06428744
2203,2017,San Pedro de Atacama,227,2203,2203,0.5150547967570588,0.04036739
2301,1982,Tocopilla,220,2301,2301,0.614983,0.5335289
2301,1992,Tocopilla,220,2301,2301,0.64032773,0.38697861
2301,2002,Tocopilla,220,2301,2301,0.62456907,0.1782012
2301,2017,Tocopilla,220,2301,2301,0.4080836398862771,0.10404051
2302,1982,María Elena,221,2302,2302,0.5966397,0.5180109
2302,1992,María Elena,221,2302,2302,0.64348306,0.43268715
2302,2002,María Elena,221,2302,2302,0.61283636,0.10678954
2302,2017,María Elena,221,2302,2302,0.428231635489799,0.0499388
3101,1982,Copiapó,240,3101,3101,0.6043139,0.5178613
3101,1992,Copiapó,240,3101,3101,0.64602522,0.35625988
3101,2002,Copiapó,240,3101,3101,0.63085648,0.18999944
3101,2017,Copiapó,240,3101,3101,0.3959902549283846,0.06261117
3102,1982,Caldera,241,3102,3102,0.5404122,0.4771435
3102,1992,Caldera,241,3102,3102,0.65113113,0.32041944
3102,2002,Caldera,241,3102,3102,0.61800139,0.17947329
3102,2017,Caldera,241,3102,3102,0.3933554315662625,0.10440639
3103,1982,Tierra Amarilla,242,3103,3103,0.4720298,0.4711401
3103,1992,Tierra Amarilla,242,3103,3103,0.62978998,0.41317562
3103,2002,Tierra Amarilla,242,3103,3103,0.60600423,0.21536545
3103,2017,Tierra Amarilla,242,3103,3103,0.3834842173648652,0.14250434
3201,1982,Chañaral,235,3201,3201,0.5545952,0.4915572
3201,1992,Chañaral,235,3201,3201,0.64107639,0.46461906
3201,2002,Chañaral,235,3201,3201,0.62423146,0.23248991
3201,2017,Chañaral,235,3201,3201,0.3935602129434942,0.12068847
3202,1982,Diego de Almagro,236,3202,3202,0.5584739,0.3395427
3202,1992,Diego de Almagro,236,3202,3202,0.63438547,0.2504758
3202,2002,Diego de Almagro,236,3202,3202,0.62550542,0.13393649
3202,2017,Diego de Almagro,236,3202,3202,0.4003408936075731,0.07561532
3301,1982,Vallenar,245,3301,3301,0.5845453,0.6462576
3301,1992,Vallenar,245,3301,3301,0.65325518,0.40998124
3301,2002,Vallenar,245,3301,3301,0.63782825,0.20581363
3301,2017,Vallenar,245,3301,3301,0.3953490857428621,0.08833259
3302,1982,Alto del Carmen,248,3302,3302,0.6242168,0.588623
3302,1992,Alto del Carmen,248,3302,3302,0.65385517,0.35987836
3302,2002,Alto del Carmen,248,3302,3302,0.6274511,0.17742976
3302,2017,Alto del Carmen,248,3302,3302,0.4288251860773205,0.15272638
3303,1982,Freirina,246,3303,3303,0.5947203,0.7016857
3303,1992,Freirina,246,3303,3303,0.65289791,0.45348975
3303,2002,Freirina,246,3303,3303,0.61758722,0.22962397
3303,2017,Freirina,246,3303,3303,0.3959515657999765,0.15726887
3304,1982,Huasco,247,3304,3304,0.5714214,0.6173389
3304,1992,Huasco,247,3304,3304,0.63394345,0.4129115
3304,2002,Huasco,247,3304,3304,0.61763725,0.16393146
3304,2017,Huasco,247,3304,3304,0.3929597990070631,0.0972109
4101,1982,La Serena,250,4101,4101,0.6072685,0.556704
4101,1992,La Serena,250,4101,4101,0.64674666,0.36389941
4101,2002,La Serena,250,4101,4101,0.63580288,0.15943624
4101,2017,La Serena,250,4101,4101,0.3613878976553149,0.10244341
4102,1982,Coquimbo,252,4102,4102,0.588232,0.6372482
4102,1992,Coquimbo,252,4102,4102,0.63776967,0.38506998
4102,2002,Coquimbo,252,4102,4102,0.62176768,0.2105919
4102,2017,Coquimbo,252,4102,4102,0.3483390922200157,0.134088
4103,1982,Andacollo,253,4103,4103,0.4911708,0.6299369
4103,1992,Andacollo,253,4103,4103,0.63336212,0.48092421
4103,2002,Andacollo,253,4103,4103,0.60106938,0.26568342
4103,2017,Andacollo,253,4103,4103,0.3442743779485349,0.14848801
4104,1982,La Higuera,251,4104,4104,0.5942887,0.5541804
4104,1992,La Higuera,251,4104,4104,0.65159998,0.4072678
4104,2002,La Higuera,251,4104,4104,0.60368172,0.24147977
4104,2017,La Higuera,251,4104,4104,0.3997279421211517,0.20537325
4105,1982,Paiguano,255,4105,4105,0.6329223,0.5071581
4105,1992,Paiguano,255,4105,4105,0.67123395,0.37765694
4105,2002,Paiguano,255,4105,4105,0.62346152,0.16130827
4105,2017,Paiguano,255,4105,4105,0.4293100027155815,0.10481378
4106,1982,Vicuña,254,4106,4106,0.6162324,0.575317
4106,1992,Vicuña,254,4106,4106,0.64617511,0.38894076
4106,2002,Vicuña,254,4106,4106,0.61795505,0.18717493
4106,2017,Vicuña,254,4106,4106,0.3683567501948162,0.12251948
4201,1982,Illapel,270,4201,4201,0.6026989,0.5548974
4201,1992,Illapel,270,4201,4201,0.63924277,0.47291913
4201,2002,Illapel,270,4201,4201,0.62625335,0.2171345
4201,2017,Illapel,270,4201,4201,0.3712676817754798,0.12024203
4202,1982,Canela,273,4202,4202,0.5983931,0.5063493
4202,1992,Canela,273,4202,4202,0.61807059,0.40434018
4202,2002,Canela,273,4202,4202,0.61947102,0.2798043
4202,2017,Canela,273,4202,4202,0.39425549104817,0.25102221
4203,1982,Los Vilos,272,4203,4203,0.6052909,0.5453624
4203,1992,Los Vilos,272,4203,4203,0.64978093,0.43095886
4203,2002,Los Vilos,272,4203,4203,0.62655566,0.23546546
4203,2017,Los Vilos,272,4203,4203,0.3596817769034804,0.13812151
4204,1982,Salamanca,271,4204,4204,0.5777147,0.5141709
4204,1992,Salamanca,271,4204,4204,0.6405252,0.40489023
4204,2002,Salamanca,271,4204,4204,0.63079465,0.24649434
4204,2017,Salamanca,271,4204,4204,0.3640085785416216,0.12528704
4301,1982,Ovalle,260,4301,4301,0.6172467,0.6648121
4301,1992,Ovalle,260,4301,4301,0.64261072,0.41114248
4301,2002,Ovalle,260,4301,4301,0.62668023,0.20943899
4301,2017,Ovalle,260,4301,4301,0.3557812285475624,0.05741716
4302,1982,Combarbalá,263,4302,4302,0.615535,0.692203
4302,1992,Combarbalá,263,4302,4302,0.6406384,0.44859837
4302,2002,Combarbalá,263,4302,4302,0.61529808,0.27723139
4302,2017,Combarbalá,263,4302,4302,0.3660012133827414,0.16209725
4303,1982,Monte Patria,262,4303,4303,0.5971538,0.671336
4303,1992,Monte Patria,262,4303,4303,0.63750324,0.44432057
4303,2002,Monte Patria,262,4303,4303,0.60759279,0.25246344
4303,2017,Monte Patria,262,4303,4303,0.3695595610425766,0.21362812
4304,1982,Punitaqui,264,4304,4304,0.6055399,0.6516892
4304,1992,Punitaqui,264,4304,4304,0.62491097,0.40413526
4304,2002,Punitaqui,264,4304,4304,0.60635578,0.25173659
4304,2017,Punitaqui,264,4304,4304,0.3614391391080359,0.25163395
4305,1982,Río Hurtado,261,4305,4305,0.6045888,0.6303875
4305,1992,Río Hurtado,261,4305,4305,0.6344966,0.36601052
4305,2002,Río Hurtado,261,4305,4305,0.61938147,0.23634437
4305,2017,Río Hurtado,261,4305,4305,0.4149922792666792,0.17193623
5101,1982,Valparaíso,310,5101,5101,0.5875538,0.6027056
5101,1992,Valparaíso,310,5101,5101,0.64094509,0.35704951
5101,2002,Valparaíso,310,5101,5101,0.61595386,0.18756196
5101,2017,Valparaíso,310,5101,5101,0.3743092672556426,0.07078369
5102,1982,Casablanca,316,5102,5102,0.6155906,0.5943348
5102,1992,Casablanca,316,5102,5102,0.64768143,0.34408403
5102,2002,Casablanca,316,5102,5102,0.61643147,0.16528568
5102,2017,Casablanca,316,5102,5102,0.3692738201741294,0.08921629
5103,1982,Concón,318,5103,5103,0.6343938,0.5143515
5103,1992,Concón,318,5103,5103,0.66392418,0.39509669
5103,2002,Concón,318,5103,5103,0.63610636,0.14397281
5103,2017,Concón,318,5103,5103,0.3898815956337021,0.0241616
5104,1982,Juan Fernández,317,5104,5104,0.6046523,0.4765531
5104,1992,Juan Fernández,317,5104,5104,0.62417333,0.16774994
5104,2002,Juan Fernández,317,5104,5104,0.58956213,0.14307521
5104,2017,Juan Fernández,317,5104,5104,0.3849702625333195,0.05117331
5105,1982,Puchuncaví,313,5105,5105,0.6143552,0.646118
5105,1992,Puchuncaví,313,5105,5105,0.64764115,0.5227469
5105,2002,Puchuncaví,313,5105,5105,0.61433714,0.19224609
5105,2017,Puchuncaví,313,5105,5105,0.3749129183637799,0.08445788
5107,1982,Quintero,312,5107,5107,0.6027125,0.6023523
5107,1992,Quintero,312,5107,5107,0.64227636,0.42463115
5107,2002,Quintero,312,5107,5107,0.62100644,0.17528682
5107,2017,Quintero,312,5107,5107,0.4006453607862665,0.0528949
5109,1982,Viña del Mar,311,5109,5109,0.6343938,0.5143515
5109,1992,Viña del Mar,311,5109,5109,0.66784881,0.28561505
5109,2002,Viña del Mar,311,5109,5109,0.63770667,0.13364549
5109,2017,Viña del Mar,311,5109,5109,0.3921133639915882,0.05178662
5201,1982,Isla de Pascua,330,5201,5201,0.5795196,0.4185671
5201,1992,Isla de Pascua,330,5201,5201,0.63413065,0.36104285
5201,2002,Isla de Pascua,330,5201,5201,0.61895494,0.10249711
5201,2017,Isla de Pascua,330,5201,5201,0.3796425864049845,0.08118237
5301,1982,Los Andes,285,5301,5301,0.6179503,0.471982
5301,1992,Los Andes,285,5301,5301,0.63727758,0.31430628
5301,2002,Los Andes,285,5301,5301,0.62205254,0.17476283
5301,2017,Los Andes,285,5301,5301,0.3728767511191285,0.07006698
5302,1982,Calle Larga,287,5302,5302,0.535855,0.5189937
5302,1992,Calle Larga,287,5302,5302,0.64184315,0.36651863
5302,2002,Calle Larga,287,5302,5302,0.62108986,0.23063201
5302,2017,Calle Larga,287,5302,5302,0.3655285640445437,0.17179798
5303,1982,Rinconada,288,5303,5303,0.5275557,0.5654323
5303,1992,Rinconada,288,5303,5303,0.63985545,0.41676796
5303,2002,Rinconada,288,5303,5303,0.61897684,0.24187173
5303,2017,Rinconada,288,5303,5303,0.3791383395131597,0.10531131
5304,1982,San Esteban,286,5304,5304,0.5757833,0.4909386
5304,1992,San Esteban,286,5304,5304,0.63344767,0.3838461
5304,2002,San Esteban,286,5304,5304,0.61165772,0.17423368
5304,2017,San Esteban,286,5304,5304,0.3689217268722668,0.1069641
5401,1982,La Ligua,275,5401,5401,0.6088405,0.5629342
5401,1992,La Ligua,275,5401,5401,0.65472684,0.34538935
5401,2002,La Ligua,275,5401,5401,0.62331404,0.19746465
5401,2017,La Ligua,275,5401,5401,0.3632824920500964,0.1666296
5402,1982,Cabildo,277,5402,5402,0.5877355,0.6208534
5402,1992,Cabildo,277,5402,5402,0.6243493,0.37681288
5402,2002,Cabildo,277,5402,5402,0.61843307,0.20464617
5402,2017,Cabildo,277,5402,5402,0.3622964983091537,0.16371276
5403,1982,Papudo,279,5403,5403,0.5845025,0.6264468
5403,1992,Papudo,279,5403,5403,0.6542841,0.42389264
5403,2002,Papudo,279,5403,5403,0.6175723,0.2157915
5403,2017,Papudo,279,5403,5403,0.3669808771898131,0.07631796
5404,1982,Petorca,276,5404,5404,0.5894695,0.5984652
5404,1992,Petorca,276,5404,5404,0.62453819,0.36785198
5404,2002,Petorca,276,5404,5404,0.61605987,0.21300451
5404,2017,Petorca,276,5404,5404,0.3604726840077666,0.10160992
5405,1982,Zapallar,278,5405,5405,0.6191851,0.5426725
5405,1992,Zapallar,278,5405,5405,0.6474918,0.34786366
5405,2002,Zapallar,278,5405,5405,0.61653615,0.20360947
5405,2017,Zapallar,278,5405,5405,0.3774349382064692,0.04502509
5501,1982,Quillota,300,5501,5501,0.6208457,0.536872
5501,1992,Quillota,300,5501,5501,0.64319682,0.31397726
5501,2002,Quillota,300,5501,5501,0.62182221,0.17715039
5501,2017,Quillota,300,5501,5501,0.3632400261352917,0.09929992
5502,1982,Calera,302,5502,5502,0.6118689,0.6081254
5502,1992,Calera,302,5502,5502,0.64052218,0.44358543
5502,2002,Calera,302,5502,5502,0.61342463,0.22129919
5502,2017,Calera,302,5502,5502,0.3576540446182676,0.15768471
5503,1982,Hijuelas,304,5503,5503,0.5972061,0.5380018
5503,1992,Hijuelas,304,5503,5503,0.64164777,0.38657708
5503,2002,Hijuelas,304,5503,5503,0.60763428,0.19307374
5503,2017,Hijuelas,304,5503,5503,0.3500220859658484,0.08977012
5504,1982,La Cruz,301,5504,5504,0.620163,0.5582931
5504,1992,La Cruz,301,5504,5504,0.654378,0.38934363
5504,2002,La Cruz,301,5504,5504,0.6242261,0.16357732
5504,2017,La Cruz,301,5504,5504,0.3620931645748725,0.06928084
5506,1982,Nogales,303,5506,5506,0.6041859,0.5997251
5506,1992,Nogales,303,5506,5506,0.61867418,0.43194069
5506,2002,Nogales,303,5506,5506,0.60305737,0.1979359
5506,2017,Nogales,303,5506,5506,0.3630441169199552,0.07717904
5601,1982,San Antonio,320,5601,5601,0.6033758,0.6358298
5601,1992,San Antonio,320,5601,5601,0.63023946,0.38533646
5601,2002,San Antonio,320,5601,5601,0.61558099,0.19928794
5601,2017,San Antonio,320,5601,5601,0.3650066732253086,0.07510975
5602,1982,Algarrobo,324,5602,5602,0.6404412,0.5730251
5602,1992,Algarrobo,324,5602,5602,0.67553959,0.30578842
5602,2002,Algarrobo,324,5602,5602,0.63959439,0.17079983
5602,2017,Algarrobo,324,5602,5602,0.4055538987330951,0.03274533
5603,1982,Cartagena,321,5603,5603,0.5848116,0.5817928
5603,1992,Cartagena,321,5603,5603,0.66063128,0.42256905
5603,2002,Cartagena,321,5603,5603,0.61727749,0.22118556
5603,2017,Cartagena,321,5603,5603,0.3765154413806331,0.06865372
5604,1982,El Quisco,323,5604,5604,0.6437213,0.6189829
5604,1992,El Quisco,323,5604,5604,0.67800139,0.41900476
5604,2002,El Quisco,323,5604,5604,0.61848769,0.1773279
5604,2017,El Quisco,323,5604,5604,0.3830744722225288,0.03433246
5605,1982,El Tabo,322,5605,5605,0.5913577,0.5782921
5605,1992,El Tabo,322,5605,5605,0.67904117,0.41707237
5605,2002,El Tabo,322,5605,5605,0.61641796,0.16822186
5605,2017,El Tabo,322,5605,5605,0.3941568393200118,0.06201755
5606,1982,Santo Domingo,325,5606,5606,0.6688868,0.4811045
5606,1992,Santo Domingo,325,5606,5606,0.65015265,0.26892834
5606,2002,Santo Domingo,325,5606,5606,0.65555245,0.14392398
5606,2017,Santo Domingo,325,5606,5606,0.3926344050929448,0.03979914
5701,1982,San Felipe,290,5701,5701,0.6046054,0.5139864
5701,1992,San Felipe,290,5701,5701,0.63742313,0.35166591
5701,2002,San Felipe,290,5701,5701,0.62381674,0.17489716
5701,2017,San Felipe,290,5701,5701,0.3776833190573562,0.08170019
5702,1982,Catemu,295,5702,5702,0.6174334,0.569019
5702,1992,Catemu,295,5702,5702,0.63950111,0.36618503
5702,2002,Catemu,295,5702,5702,0.61040988,0.22955698
5702,2017,Catemu,295,5702,5702,0.358001702840483,0.16867505
5703,1982,Llaillay,294,5703,5703,0.6054455,0.5976489
5703,1992,Llaillay,294,5703,5703,0.64405711,0.39226631
5703,2002,Llaillay,294,5703,5703,0.61231014,0.21502061
5703,2017,Llaillay,294,5703,5703,0.3587262190753379,0.07810892
5704,1982,Panquehue,293,5704,5704,0.5997801,0.5032884
5704,1992,Panquehue,293,5704,5704,0.63677332,0.38168375
5704,2002,Panquehue,293,5704,5704,0.61689854,0.17863138
5704,2017,Panquehue,293,5704,5704,0.3663833952405759,0.10167596
5705,1982,Putaendo,291,5705,5705,0.5941038,0.5875804
5705,1992,Putaendo,291,5705,5705,0.63444089,0.35578912
