cod_BCN,year,muni_string,cut02,cut82,cut92,gini,fgt0
1101.0,1982.0,Iquique,1101,210,1101,0.5951104,0.9779977
1101.0,1992.0,Iquique,1101,210,1101,0.63907173,0.27124596
1101.0,2002.0,Iquique,1101,210,1101,0.62423262,0.10737478
1101.0,2017.0,Iquique,1101,210,1101,0.392029248943583,0.04383602
1107.0,1982.0,Alto Hospicio,1101,210,1101,0.5951104,0.9779977
1107.0,1992.0,Alto Hospicio,1101,210,1101,0.6549679,0.53981983
1107.0,2002.0,Alto Hospicio,1101,210,1101,0.59849328,0.21257501
1107.0,2017.0,Alto Hospicio,1101,210,1101,0.3800191976252317,0.07755472
1401.0,1982.0,Pozo Almonte,1106,215,1106,0.4409666,0.8851402
1401.0,1992.0,Pozo Almonte,1106,215,1106,0.65482559,0.29522545
1401.0,2002.0,Pozo Almonte,1106,215,1106,0.61203562,0.18593219
1401.0,2017.0,Pozo Almonte,1106,215,1106,0.4186887847667804,0.10880112
1402.0,1982.0,Camiña,1102,212,1102,0.5092705,0.9334719
1402.0,1992.0,Camiña,1102,212,1102,0.65508743,0.38400018
1402.0,2002.0,Camiña,1102,212,1102,0.61692912,0.27278635
1402.0,2017.0,Camiña,1102,212,1102,0.47435900544219045,0.2644559
1403.0,1982.0,Colchane,1103,213,1103,0.6064115,1.0
1403.0,1992.0,Colchane,1103,213,1103,0.6219617,0.39247984
1403.0,2002.0,Colchane,1103,213,1103,0.67329102,0.42253702
1403.0,2017.0,Colchane,1103,213,1103,0.4907242280011183,0.13947724
1404.0,1982.0,Huara,1104,211,1104,0.5060307,0.9200596
1404.0,1992.0,Huara,1104,211,1104,0.6806047,0.37761282
1404.0,2002.0,Huara,1104,211,1104,0.62358623,0.19448449
1404.0,2017.0,Huara,1104,211,1104,0.4438415638553226,0.18823709
1405.0,1982.0,Pica,1105,214,1105,0.6276087,0.9862769
1405.0,1992.0,Pica,1105,214,1105,0.68511533,0.30010766
1405.0,2002.0,Pica,1105,214,1105,0.62532479,0.17454979
1405.0,2017.0,Pica,1105,214,1105,0.4152092210169741,0.08634709
2101.0,1982.0,Antofagasta,2101,230,2101,0.5932091,0.5301153
2101.0,1992.0,Antofagasta,2101,230,2101,0.6436671,0.32108653
2101.0,2002.0,Antofagasta,2101,230,2101,0.62761593,0.13415736
2101.0,2017.0,Antofagasta,2101,230,2101,0.4222350029231416,0.05064389
2102.0,1982.0,Mejillones,2102,231,2102,0.5566318,0.5113039
2102.0,1992.0,Mejillones,2102,231,2102,0.62943779,0.31572736
2102.0,2002.0,Mejillones,2102,231,2102,0.60842286,0.16948134
2102.0,2017.0,Mejillones,2102,231,2102,0.43244693038549775,0.07660999
