cut_2026,year,bonus_total_uf
01401,2009,1202.03
01401,2011,2958.97
01401,2012,3782.18
01401,2014,602.34
01401,2015,933.04
01401,2016,3344.95
01401,2017,257.81
01401,2018,1188.44
01401,2019,5367.87
01402,2007,7041.89
01402,2008,4244.63
01402,2010,2679.79
01402,2011,4798.07
01402,2013,10378.1
01402,2017,484.24
01402,2018,880.6499999999999
01403,1996,2092.6099999999997
01404,1996,1839.82
01404,2007,2432.47
01404,2008,6968.75
01404,2010,1231.8
01404,2011,2394.57
01404,2016,5828.91
01404,2017,5168.76
01404,2018,3180.64
01404,2019,3899.45
01405,1991,1667.44
01405,1993,619.19
01405,1994,1192.82
01405,1995,318.02
01405,2000,3905.13
01405,2003,5099.92
01405,2008,6403.35
01405,2009,402.9
01405,2011,160.98
01405,2012,7260.78
01405,2013,14440.81
01405,2014,15301.92
01405,2015,1973.33
01405,2017,2224.01
01405,2018,651.0799999999999
01405,2019,2441.12
02201,1994,5623.35
02201,2004,4241.37
02201,2005,2454.26
02201,2010,11404.69
02201,2015,1373.88
02201,2017,5548.37
02201,2018,5174.69
02201,2019,19590.21
02203,1993,4526.56
02203,1999,19799.44
02203,2002,32833.799999999996
02203,2003,1390.2
02203,2004,932.25
02203,2005,3422.77
02203,2006,2673.56
02203,2007,3623.81
02203,2008,6850.85
02203,2009,7957.4800000000005
02203,2010,4765.2699999999995
02203,2011,4471.2300000000005
02203,2015,6302.25
02203,2016,21895.81
02203,2017,10320.64
02203,2018,43872.19
02203,2019,29668.82
03101,1988,13104.36
03101,1989,1684.06
03101,1990,2679.16
03101,1995,2343.1800000000003
03101,1996,4823.28
03101,1997,912.74
03101,1998,724.5
03101,2001,1280.72
03101,2002,686.44
03101,2008,423.23
03101,2009,1885.48
03101,2010,797.88
03101,2011,3219.26
03101,2012,19867.03
03101,2013,19099.12
03101,2014,14367.509999999998
03101,2016,20474.22
03101,2017,49681.020000000004
03101,2018,4842.62
03101,2019,4993.32
03102,1988,1358.42
03102,1994,5230.85
03102,1995,2531.64
03102,1997,1861.02
03102,1998,753.4
03103,1987,22812.86
03103,1988,10471.54
03103,1989,10762.67
03103,1990,5597.8
03103,1991,4635.12
03103,1992,8716.5
03103,1993,4004.7799999999997
03103,1994,1850.09
03103,1995,2601.33
03103,1996,4345.43
03103,1998,2190.15
03103,2000,222.68
03103,2001,403.78
03103,2002,2832.04
03103,2003,3099.74
03103,2005,1280.49
03103,2006,843.86
03103,2009,13102.02
03103,2010,14421.650000000001
03103,2011,14328.72
03103,2013,6007.64
03103,2014,4201.15
03103,2015,7312.59
03103,2016,12635.99
03103,2017,31676.77
03103,2018,10473.960000000001
03103,2019,6233.82
03301,1991,337.52
03301,1996,921.02
03301,1997,3124.04
03301,1998,5609.33
03301,1999,22277.05
03301,2000,11350.130000000001
03301,2001,41671.08
03301,2002,15573.55
03301,2003,14460.91
03301,2004,29325.79
03301,2005,9534.029999999999
03301,2006,15563.4
03301,2007,7421.539999999999
03301,2008,3052.8900000000003
03301,2009,35265.19
03301,2010,41569.08
03301,2011,49394.55
03301,2012,10492.16
03301,2013,33188.54
03301,2014,49785.67
03301,2015,34838.34
03301,2016,11873.98
03301,2017,19453.39
03301,2018,121022.54
03301,2019,65220.27
03302,1995,4835.58
03302,1996,2742.1099999999997
03302,1997,1374.69
03302,1998,7587.5599999999995
03302,1999,9105.13
03302,2000,10415.78
03302,2001,3914.2400000000002
03302,2002,8804.15
03302,2003,9373.779999999999
03302,2004,31519.53
03302,2005,30334.96
03302,2006,8778.69
03302,2007,10300.5
03302,2008,6730.950000000001
03302,2009,17367.99
03302,2010,18561.55
03302,2011,16418.72
03302,2012,7297.2
03302,2013,9043.76
03302,2014,4641.75
03302,2015,3227.99
03302,2016,10119.53
03302,2017,12132.66
03302,2018,49019.630000000005
03302,2019,16953.83
03303,1998,1454.51
03303,1999,4312.96
03303,2000,1099.99
03303,2001,2240.88
03303,2002,1209.11
03303,2003,1390.75
03303,2004,282.19
