cod_BCN,clase_I,clase_II,clase_III,clase_IV,clase_NC,clase_V,clase_VI,clase_VII,clase_VIII,eligible_area,share_eligible_area,ln_eligible_area
1101.0,,,,,,,,,,,,
1107.0,,,,,,,,,,,,
1401.0,,,,,,,,,,,,
1402.0,,,,,,,,,,,,
1403.0,,,,,,,,,,,,
1404.0,,,,,,,,,,,,
1405.0,,,,,,,,,,,,
2101.0,,,,,,,,,,,,
2102.0,,,,,,,,,,,,
2103.0,,,,,,,,,,,,
2104.0,,,,,,,,,,,,
2201.0,,,,,,,,,,,,
2202.0,,,,,,,,,,,,
2203.0,,,,,,,,,,,,
2301.0,,,,,,,,,,,,
2302.0,,,,,,,,,,,,
3101.0,0.0,1567.95961947,4133.15900106999,1241.10320145,4197.67798582999,4322.42553443,250.60677383,231.850142,635.82350261,6942.2217,1.3553915e-05,8.845521
3102.0,0.0,0.0,260.91392049999996,17.95082366,42.65526958,120.11702026,37.44881279,3.8323452000000002,57.04251249,278.86475,5.444524e-07,5.6343064
3103.0,0.0,1782.88372282,4398.13,912.62794851,3925.8768322799997,0.0,1050.23597340999,197.71092281000003,1648.51,7093.6416,1.3849546e-05,8.867095
3201.0,,,,,,,,,,,,
3202.0,,,,,,,,,,,,
3301.0,0.0,2000.14757756,4547.79506201,1045.35,1770.96291417,0.0,875.92015124,2230.04319121999,1251.18184492,7593.2925,1.4825058e-05,8.935152
3302.0,162.4448722,573.60630404,882.377854119999,1997.95147682999,383.49395035,0.0,106.73,182.92024612,494.83871247,3616.3806,7.0605806e-06,8.193505
3303.0,0.0,499.14665541,948.7486107699999,506.76994872,793.11033418,0.0,536.11,954.1833725399999,1005.64300079,1954.6652,3.816266e-06,7.5784855
3304.0,0.0,44.20347994,564.7758604299989,234.51,321.42502099,0.0,38.32244295,189.24854178,153.302932059999,843.4893,1.646819e-06,6.738732
4101.0,297.36549693,1893.9559422299901,5248.097472559991,2251.02369087,4050.61334049,0.0,1052.07529787,3586.7268404,3301.85318927,9690.442,1.891951e-05,9.178999
4102.0,0.0,2129.63418253,10445.936342389901,4065.23856021,3393.58774799,0.0,274.910850989999,2604.92085053,2669.35866866,16640.809,3.2489326e-05,9.719673
4103.0,0.0,5.162479729999999,288.82276255,135.7292104,0.0,0.0,0.0,247.06545523,237.67282867,429.71445,8.3896964e-07,6.0654454
4104.0,,,,,,,,,,,,
4105.0,0.0,0.0,391.12331453999997,151.89470285,258.431469199999,0.0,595.83370654,1629.99271619,592.73896153,543.018,1.0601822e-06,6.298982
4106.0,76.08635289,508.31049906,1323.23614245,1579.5417469000001,1336.72433055,0.0,550.97857218,2908.58,1966.05291175,3487.1748,6.808321e-06,8.157134
4201.0,0.0,516.44421623,3529.2988134999996,1721.28,1080.94176109,0.0,1696.52,14271.26008044,2349.82243453,5767.023,1.1259471e-05,8.660085
